Q. No,Questions,Answer A,Answer B,Correct Answer, Leading Article ,Article ID,,
Q1,முதல் கிரிக்கெட் உலகக் கோப்பை எப்போது நடைபெற்றது?,1975,1973,A,1975 cricket world cup,P26,,
Q2,ஆண்களுக்கான முதல் கிரிக்கெட் உலகக்கோப்பையை நடத்தியது எந்த நாடு?,இங்கிலாந்து,மேற்கிந்தியத் தீவுகள்,A,England,G10,,
Q3,ஆண்களுக்கான முதல் கிரிக்கெட் உலகக்கோப்பையை வென்றது யார்?,ஆஸ்திரேலியா,மேற்கிந்தியத் தீவுகள்,B,West Indies cricket team,R3,,
Q4,1975 உலகக்கோப்பை அதிகாரப்பூர்வமாக எப்படி அழைக்கப்பட்டது?,ப்ருடென்ஷியல் உலகக்கோப்பை,ஐசிசி உலகக்கோப்பை,A,1975 cricket world cup,P26,,
Q5,"முதல் கிரிக்கெட் உலகக்கோப்பைக்கு முன், எத்தனை ஒரு நாள் சர்வதேசப் போட்டிகள் விளையாடப்பட்டன?",18,25,A,1975 cricket world cup,P26,,
Q6,இந்த அணிகளில் எந்த அணி 1975 கிரிக்கெட் உலகக்கோப்பை போட்டியில் கலந்து கொண்டது?,கிழக்கு ஆப்பிரிக்கா ,தென் ஆப்பிரிக்கா,A,South African Cricket team,R14,,
Q7,1975-ஆம் ஆண்டு கிரிக்கெட் உலகக்கோப்பையில் அதிக ரன்கள் எடுத்தவர் யார்?,கிளைவ் லாயிட்,க்லென் டுர்னெர்,B,West Indies cricket team,R3,,
Q8,முதல் உலகக்கோப்பையின் முதல் ஆட்டத்தில் எந்த அணிகள் விளையாடியன?,இந்தியா & இங்கிலாந்து,இங்கிலாந்து & மேற்கிந்தியத் தீவுகள்,A,Indian Cricket team,R1,,
Q9,"இங்கிலாந்துக்கு எதிரான முதல் ஆட்டத்தில், சுனில் கவாஸ்கர் எத்தனை பந்துகளில் 36 ரன்கள் எடுத்தார்?",174,224,A,Indian Cricket team,R1,,
Q10,1975-இல் நடந்த முதல் உலகக்கோப்பை கிரிக்கெட்டில் எத்தனை மேட்ச்கள் விளையாடப்பட்டன?,15,19,A,1975 cricket world cup,P26,,
Q11,1979 உலகக்கோப்பையை நடத்திய நாடு எது?,இங்கிலாந்து,மேற்கிந்தியத் தீவுகள்,A,England,G10,,
Q12,"டெஸ்ட் போட்டியை விளையாடாமலே, 1979-ஆம் ஆண்டு கிரிக்கெட் உலகக்கோப்பைக்கு தகுதி பெற்ற இரண்டு அணிகள் எது? ","ஸ்ரீலங்கா, கனடா","கனடா, கிழக்கு ஆப்பிரிக்கா",A,Srilankan Cricket team,R13,,
Q13,1979-ல் கிரிக்கெட் உலகக்கோப்பையை வென்றது யார்?,இங்கிலாந்து,மேற்கிந்தியத் தீவுகள்,B,West Indies Cricket team,R3,,
Q14,1979-ஆம் ஆண்டு கிரிக்கெட் உலகக்கோப்பையில் அதிக ரன்கள் எடுத்தது யார்?,கிளைவ் லாயிட்,கார்டன் கிரீனிட்ச்,B,West Indies Cricket team,R3,,
