Fact Id,Relevant Image,Heading,Fact,Read More Text,Linking article,Article ID
F1,https://en.wikipedia.org/wiki/1975_Cricket_World_Cup#/media/File:Prudential_Cup_75_logo.svg,मात्र 18,"1975 के विश्व कप से पहले, टेस्ट मैचों में भाग लेने वाले देशों के बीच केवल 18 वनडे इन्‍टरनेशनल मैच खेले गए थे।",1975 के विश्व कप के बारे में और पढ़ें,1975 विश्व कप,P26
F2,https://en.wikipedia.org/wiki/1975_Cricket_World_Cup#/media/File:Prudential_Cup_75_logo.svg,भारतीय शुरुआत,"भारतीय गेंदबाज, मदन लाल, ने पहले विश्व कप की पहली गेंद इंग्लैंड के जॉन जेम्सन को डाली थी। ",1975 के विश्व कप के बारे में और पढ़ें,1975 विश्व कप,P26
F3,https://en.wikipedia.org/wiki/India_national_cricket_team#/media/File:Flagcricket.jpg,भारतीय शुरुआत,"भारतीय गेंदबाज, मदन लाल, ने पहले विश्व कप की पहली गेंद इंग्लैंड के जॉन जेम्सन को डाली थी। ",भारतीय क्रिकेट टीम के बारे में और पढ़ें,भारतीय क्रिकेट टीम,R1
F4,https://en.wikipedia.org/wiki/1975_Cricket_World_Cup#/media/File:Prudential_Cup_75_logo.svg,अलोकप्रिय 36,"1975 के विश्व कप के पहले मैच में, सुनील गावस्कर ने इंग्लैंड के खिलाफ 174 गेंदों पर अलोकप्रिय 36 रन बनाए।",1975 के विश्व कप के बारे में और पढ़ें,1975 विश्व कप,P26
F5,https://en.wikipedia.org/wiki/1975_Cricket_World_Cup#/media/File:Prudential_Cup_75_logo.svg,अलोकप्रिय 36,"1975 के विश्व कप के पहले मैच में, सुनील गावस्कर ने इंग्लैंड के खिलाफ 174 गेंदों पर अलोकप्रिय 36 रन बनाए।",भारतीय क्रिकेट टीम के बारे में और पढ़ें,भारतीय क्रिकेट टीम,R1
F6,https://en.wikipedia.org/wiki/1979_Cricket_World_Cup#/media/File:Prudential_Cup_79_logo.svg,कोई अफ्रीकी राष्ट्र नहीं,"क्‍योंकि पूर्वी अफ्रीका 1979 विश्व कप के लिए क्वालीफाई नहीं कर पाया था, यह पहला विश्व कप था जिसमें अफ्रीकी क्षेत्र की भागीदारी नहीं थी।",1979 विश्व कप के बारे में और पढ़ें,1979 विश्व कप,P27
F7,https://en.wikipedia.org/wiki/1979_Cricket_World_Cup#/media/File:Prudential_Cup_79_logo.svg,सबसे कम स्कोर,"कनाडा ने इंग्लैंड के खिलाफ 45 रन बनाकर विश्व कप मैच में सबसे कम स्कोर का रिकॉर्ड बनाया था। 2003 विश्व कप के दौरान, श्रीलंका के खिलाफ केवल 36 रन बनाकर उन्‍होंने इसे तोड़ा। ",1979 विश्व कप के बारे में और पढ़ें,1979 विश्व कप,P27
F8,https://en.wikipedia.org/wiki/1979_Cricket_World_Cup#/media/File:Prudential_Cup_79_logo.svg,भारत की कोई जीत नहीं,"भारत प्रतियोगिता में एक भी मैच जीतने में असफल रहा, टेस्‍ट-खेलने वाले देशों में से ऐसा प्रदर्शन करने वाला एकमात्र देश।",1979 विश्व कप के बारे में और पढ़ें,1979 विश्व कप,P27
F9,https://en.wikipedia.org/wiki/India_national_cricket_team#/media/File:Flagcricket.jpg,भारत की कोई जीत नहीं,"भारत प्रतियोगिता में एक भी मैच जीतने में असफल रहा, टेस्‍ट-खेलने वाले देशों में से ऐसा प्रदर्शन करने वाला एकमात्र देश।",1979 विश्व कप के बारे में और पढ़ें,भारतीय क्रिकेट टीम,R1
F10,https://en.wikipedia.org/wiki/1983_Cricket_World_Cup#/media/File:Prudential_Cup_83_logo.svg,कोई ‘मैन ऑफ द सीरीज’ नहीं,1983 विश्व कप के दौरान कोई 'मैन ऑफ द सीरीज़' का पुरस्कार नहीं दिया गया था।,1983 विश्व कप के बारे में और पढ़ें,1983 विश्व कप,P2
