No,Title,Short description,Image Link,Image caption
SF1,नागपुर,नागपुर (पूर्व में नागपोर) भारतीय राज्य महाराष्ट्र का तीसरा सबसे बड़ा शहर और शीतकालीन राजधानी है। यह जनसंख्या के हिसाब से 13 वां सबसे बड़ा भारतीय शहर है।,https://en.wikipedia.org/wiki/Nagpur#/media/File:Diksha_Bhumi.jpg,दीक्षा भूमि
SF2,पुणे,"पुणे को महाराष्ट्र की सांस्कृतिक राजधानी माना जाता है। कई प्रसिद्ध शैक्षणिक संस्थानों की उपस्थिति के कारण इसे ""पूर्व का ऑक्सफोर्ड"" भी कहा जाता है।","https://commons.wikimedia.org/wiki/%E0%A4%AA%E0%A5%81%E0%A4%A3%E0%A5%87#/media/File:Shaniwar_Wada_fort,_Pune.jpg",शनिवार वाडा
SF3,अहमदाबाद,"अहमदाबाद भारतीय राज्य गुजरात का सबसे बड़ा शहर और पूर्व राजधानी है। अहमदाबाद में क्रिकेट एक लोकप्रिय खेल है, जहाँ 54,000 सीटों वाला सरदार पटेल स्टेडियम है।",https://en.wikipedia.org/wiki/Ahmedabad#/media/File:Sheth_Hutheesinh_Temple.jpg,शेठ हुथीसिंह मंदिर
SF4,सूरत,सूरत भारतीय राज्य गुजरात का एक शहर है। यह एक बड़ा बंदरगाह हुआ करता था और अब हीरे की कटाई और चमकाने का केंद्र है।,https://en.wikipedia.org/wiki/Surat#/media/File:Diamond_Polisher.jpg,हीरा पालिश करनेवाला
SF5,जींद,"पहले सिख साम्राज्यों में से एक, जींद हरियाणा के बीच में स्थित है और जाट बेल्ट का चौथा जिला है।",https://en.wikipedia.org/wiki/Jind#/media/File:RaniTalab.png,रानी तालाब मंदिर
SF6,कानपुर,कानपुर (पहले कावनपोर) उत्तर प्रदेश राज्य का एक बड़ा शहर है। यह शहर अपने चमड़ा और कपड़ा उद्योगों के लिए प्रसिद्ध है।,https://en.wikipedia.org/wiki/Kanpur#/media/File:Kanpur_Central_Station.jpg,कानपुर सेंट्रल स्टेशन
SF7,अमरोहा,अमरोहा लोकसभा निर्वाचन क्षेत्र उत्तर प्रदेश के 80 लोकसभा (संसदीय) निर्वाचन क्षेत्रों में से एक है।,https://commons.wikimedia.org/wiki/Category:Amroha#/media/File:Azakhana_wazeer_un_nisa.jpg,"अमरोहा उत्तर प्रदेश, अज़खाना के सामने ऊंट पर भारत के बच्चे"
SF8,मंगलौर,"मैंगलोर, जिसे आधिकारिक रूप से मंगलुरु के रूप में जाना जाता है, भारतीय राज्य कर्नाटक का प्रमुख बंदरगाह शहर है। यह कर्नाटक का एकमात्र शहर है जिसमें परिवहन के सभी साधन मौजूद हैं - वायु, सड़क, रेल और समुद्र।",https://commons.wikimedia.org/wiki/Mangalore#/media/File:Ullal_Bridge_Mangalore.JPG,"उल्लाल ब्रिज, मैंगलोर"
SF9,तूतीकोरिन,"तूतीकोरिन, जिसे आधिकारिक तौर पर थूथुकुडी के नाम से जाना जाता है, भारत के तमिलनाडु राज्य में एक बंदरगाह शहर और एक औद्योगिक शहर है। थूथुकुडी का प्रमुख बंदरगाह मोती के लिए गोताखोरी और मछली पकड़ने के केंद्र के रूप में जाना जाता है।",https://en.wikipedia.org/wiki/Thoothukudi#/media/File:Tuticorin_Thermal_Power_Station_at_Night_1_crop.jpg,तूतीकोरिन थर्मल पावर स्टेशन
SF10,केप टाउन,"केप टाउन दक्षिण अफ्रीका का सबसे पुराना शहर है, जिसे आम तौर पर मदर सिटी नाम दिया जाता है।",https://en.wikipedia.org/wiki/Cape_Town#/media/File:Clifton_Beachs.jpg,केप टाउन में क्लिफ्टन बीच
